ID_REF,GSM704121,GSM704122,GSM704123,GSM704124,GSM704125,GSM704126,GSM704128,GSM704370,GSM704371,GSM704376,GSM704377,GSM704378,GSM704379,GSM704380,GSM704381,GSM704382,GSM704383,GSM704384,GSM704385,GSM704386,GSM704387,GSM704388,GSM704389,GSM704390,GSM704391,GSM704392,GSM704393,GSM704394,GSM704395,GSM704396,GSM704397,GSM704398,GSM704399,GSM704400,GSM704401
MMP23B,9,10,11,11,9,8,11,10,13,12,11,21,11,17,10,10,11,15,9,16,11,15,9,13,9,24,10,12,9,107,15,15,13,12,16
COL7A1,30,29,34,27,33,28,32,41,39,40,43,57,44,37,46,40,43,39,36,39,34,36,37,49,41,46,41,54,34,43,36,43,38,37,32
LAMB3,20,26,25,26,26,21,23,36,34,36,27,36,29,37,34,25,31,30,29,28,28,32,28,33,34,33,38,31,32,32,32,47,39,28,28
COL14A1,19,18,18,18,14,15,17,28,26,31,22,40,36,44,24,35,24,28,21,45,22,34,25,48,23,55,27,47,22,35,22,35,31,30,29
MMP15,79,35,70,73,55,90,144,66,60,64,60,57,107,47,47,90,46,63,85,227,198,84,64,76,77,60,54,47,65,58,76,63,88,67,77
SDC3,1415,87,1074,988,1084,1087,1217,2179,1926,2117,2012,1637,2904,1928,2162,2484,1783,2076,2625,3683,3984,2722,2679,2309,3128,2646,1877,2000,1699,2752,2979,2114,2162,1887,2492
ADAM11,46,29,39,44,38,45,41,196,306,259,220,126,286,184,211,335,209,210,309,346,336,209,254,218,210,244,179,213,214,77,111,110,179,222,238
LAMB2,208,55,190,184,249,157,143,244,105,175,121,289,245,127,103,153,92,128,221,212,211,193,115,224,169,212,135,219,109,159,173,154,203,121,180
LAMA1,478,71,285,394,466,388,261,40,25,43,34,61,60,37,30,34,29,34,30,73,82,46,36,36,40,36,27,37,29,51,51,37,40,32,29
COL4A6,54,48,182,104,149,53,22,22,18,22,19,29,20,27,20,24,19,20,17,19,18,19,16,22,21,26,21,23,16,29,17,23,19,22,15
VCAN,2787,131,2764,2860,3681,2543,2868,862,512,518,586,1007,1585,318,318,566,386,544,676,532,728,726,811,483,590,332,583,380,714,815,1340,527,568,525,798
MMP24,54,34,43,42,32,45,127,238,484,271,319,123,336,292,247,285,356,230,341,395,569,343,441,314,314,193,279,242,327,195,253,159,242,240,377
COL16A1,25,32,26,24,38,23,31,53,43,54,40,73,59,51,52,40,42,51,45,48,49,51,52,49,41,48,46,40,44,83,54,46,50,34,43
ADAMTSL1,25,16,71,18,32,54,35,26,23,26,27,31,23,35,27,27,26,22,24,75,86,26,28,29,27,36,28,31,22,23,17,19,19,31,25
HAPLN3,46,43,70,64,59,80,33,70,133,66,94,79,57,68,58,68,59,69,69,54,60,67,87,46,59,64,88,41,78,161,109,83,66,72,66
SRGN,44,31,36,26,54,77,22,109,108,97,104,209,125,159,269,98,72,263,89,79,432,191,140,100,80,219,434,105,203,255,235,260,269,78,76
MMP14,105,34,47,66,64,42,58,46,45,46,44,75,67,49,20,39,33,40,34,61,82,54,44,36,40,61,36,44,34,24,49,41,33,33,42
ADAM17,337,73,303,288,378,291,332,134,131,122,136,123,120,107,137,108,100,125,190,116,151,136,170,107,173,128,118,84,131,124,180,155,144,88,187
LAMC1,597,80,314,544,565,336,401,167,138,124,133,203,238,118,85,155,75,114,199,164,143,166,135,167,174,175,117,140,85,155,168,125,151,69,212
LAMC2,15,22,17,15,17,17,15,24,19,22,24,27,17,26,24,20,24,18,17,18,17,23,20,31,21,23,20,26,20,26,22,23,19,20,17
ITGB3,71,22,43,40,25,62,28,21,16,19,21,27,19,24,20,23,15,19,18,20,17,25,18,25,17,27,19,24,17,28,20,23,22,20,18
COL13A1,23,19,23,22,20,23,20,27,19,22,26,28,22,25,19,28,23,30,22,22,23,24,22,26,29,26,18,30,20,35,27,29,32,28,21
