COUNT,ID_REF,VALUE,
1,3881686,9.51171,730
2,2672712,8.47583,356
3,2842570,9.18806,583
4,3526544,6.71559,105
5,2902531,4.01655,16
6,2402942,7.45665,176
7,3382216,11.3806,2666
8,3771800,9.49147,720
9,2427469,5.39689,42
10,2392945,6.795,111
11,2453006,4.20335,18
12,3552083,5.41668,43
13,3416651,8.2199,298
14,2562821,9.5987,775
15,3721851,6.00214,64
16,3442176,9.07479,539
17,2477438,7.93387,245
18,2926969,8.40608,339
19,3026969,6.61514,98
20,3796335,8.23215,301
21,2622772,5.40805,42
22,3636470,8.88027,471
23,2952497,7.00672,129
24,2367537,7.31682,159
25,3332276,3.72512,13
26,2427500,5.88415,59
27,2647315,3.78822,14
28,3136888,9.77974,879
29,3502149,3.51137,11
30,2902559,11.4842,2865
31,3831774,7.56229,189
32,3442205,8.16173,286
33,3026988,10.0567,1065
34,2453036,4.57486,24
35,3466634,3.61663,12
36,3991650,7.90658,240
37,3966225,8.09028,273
38,2403080,3.95559,16
39,2867145,8.10142,275
40,3576545,7.118,139
41,2842624,4.48018,22
42,2902574,8.58039,383
43,2392985,4.38104,21
44,3332298,3.9001,15
45,3806366,3.8607,15
46,3222404,3.59405,12
47,2452948,3.62358,12
48,3721886,6.8656,117
49,3661940,12.7148,6723
50,3662041,8.08416,271
51,3416702,3.34275,10
52,2817212,5.38144,42
53,3077072,4.12125,17
54,3636522,9.89765,954
55,2403099,3.88183,15
56,2672774,6.21266,74
57,2697308,3.70507,13
58,2403111,8.62052,394
59,2562867,9.61543,784
60,3332325,3.64058,12
61,3916290,3.58064,12
62,2902593,4.31403,20
63,2427538,4.00042,16
64,2453065,4.36878,21
65,2902609,4.22654,19
66,3332334,4.1279,17
67,4016308,10.0748,1078
68,2512930,7.22177,149
69,2782694,5.70609,52
70,3612113,3.63698,12
71,3831831,6.17656,72
72,3442249,10.1138,1108
73,2452977,3.96554,16
74,2343170,9.17182,577
75,3721926,9.02125,520
76,2757278,4.83098,28
77,2697331,5.2694,39
78,4016319,3.58055,12
79,3881786,5.13075,35
80,2367599,3.96241,16
81,3382296,6.10302,69
82,3416733,3.56017,12
83,3991698,10.2982,1259
84,3162486,3.60783,12
85,3466687,3.72983,13
86,2427566,8.5407,372
87,3416740,3.56053,12
88,2902633,5.15197,36
89,3722039,6.27134,77
90,2622859,5.35718,41
91,2817251,3.8035,14
92,3112543,7.33466,161
93,2672821,7.42928,172
94,3382319,7.05406,133
95,2977122,4.61965,25
96,3796428,6.75861,108
97,3662086,6.06089,67
98,3636562,3.95213,15
99,3002640,7.89542,238
100,3526655,4.47787,22
101,3077128,5.80324,56
102,3662093,10.2988,1260
103,2403158,7.92967,244
104,3246888,4.93115,31
105,3662106,5.72195,53
106,3721956,10.8159,1803
107,3442282,11.6318,3173
108,2707359,6.35852,82
109,3881824,7.67201,204
110,2757319,8.55221,375
111,2892652,7.42809,172
112,3722060,8.45435,351
113,2562932,5.52416,46
114,2842707,7.34198,162
115,3746489,4.10516,17
116,3576633,3.44812,11
117,2317686,7.3426,162
118,2697372,5.16523,36
119,3162529,6.50716,91
120,3332388,3.69984,13
121,3416773,3.86662,15
122,3612166,7.81579,225
123,3502259,8.49126,360
124,2343231,6.41373,85
125,3027204,5.52016,46
126,3332403,5.7562,54
127,3806459,5.87638,59
128,3941793,5.61845,49
129,2672857,8.21703,298
130,3466740,8.67722,409
131,2817291,8.99364,510
132,2427619,7.75478,216
133,3186966,7.93197,244
134,2622912,6.795,111
135,3112584,3.51222,11
136,3137120,7.02388,130
137,3722084,4.25396,19
138,2757347,8.22925,300
139,3442322,4.5008,23
140,3272455,5.58636,48
141,3662139,6.17908,72
142,3721989,9.77492,876
143,3077168,6.03838,66
144,2562965,3.49994,11
145,3332424,3.4585,11
146,3772056,3.3669,10
147,3662150,7.30289,158
148,3831917,8.35322,327
149,2403215,5.86564,58
150,2902707,10.2179,1191
151,2647458,9.77493,876
152,4016396,6.78336,110
153,2732844,6.2672,77
154,3881874,7.06924,134
155,3662158,4.5977,24
156,3442345,4.42348,21
157,2477598,5.0847,34
158,3686587,6.37554,83
159,2587520,8.43733,347
160,2867284,4.3774,21
161,3222534,8.06448,268
162,3662170,3.28345,10
163,3416830,3.27968,10
164,3722129,4.00513,16
165,2902725,8.40597,339
166,3332449,3.70301,13
167,3941848,5.50805,46
168,3416834,3.40809,11
169,3382410,6.9309,122
170,2782822,4.70445,26
171,3576704,3.90033,15
172,2927255,5.26608,38
173,2952679,9.32233,640
174,3077214,6.77033,109
175,4016428,6.88855,118
