,ID_REF,VALUE,COUNT
1,3881686,9.28812,625
2,2672712,9.44668,698
3,2842570,8.86577,467
4,3526544,6.62571,99
5,2902531,5.27275,39
6,2402942,7.15462,142
7,3382216,11.0699,2150
8,3771800,9.07098,538
9,2427469,6.57486,95
10,2392945,7.66665,203
11,2453006,4.86257,29
12,3552083,5.91443,60
13,3416651,7.39895,169
14,2562821,8.43532,346
15,3721851,5.82064,57
16,3442176,9.02699,522
17,2477438,6.89465,119
18,2926969,8.07626,270
19,3026969,7.28859,156
20,3796335,8.17061,288
21,2622772,6.1791,72
22,3636470,9.04192,527
23,2952497,6.65738,101
24,2367537,7.31753,160
25,3332276,4.81976,28
26,2427500,5.53432,46
27,2647315,4.95278,31
28,3136888,8.33816,324
29,3502149,3.80451,14
30,2902559,11.8078,3585
31,3831774,5.71661,53
32,3442205,7.77483,219
33,3026988,9.03032,523
34,2453036,5.9668,63
35,3466634,4.71633,26
36,3991650,6.94456,123
37,3966225,8.03861,263
38,2403080,4.91342,30
39,2867145,8.31633,319
40,3576545,7.20457,147
41,2842624,5.03766,33
42,2902574,7.99473,255
43,2392985,4.95527,31
44,3332298,3.29648,10
45,3806366,4.20706,18
46,3222404,4.43161,22
47,2452948,3.74068,13
48,3721886,7.41161,170
49,3661940,12.3977,5396
50,3662041,7.10231,137
51,3416702,4.34248,20
52,2817212,4.8427,29
53,3077072,4.69001,26
54,3636522,9.91835,968
55,2403099,4.72532,26
56,2672774,6.20509,74
57,2697308,4.63078,25
58,2403111,7.63611,199
59,2562867,9.19676,587
60,3332325,4.36559,21
61,3916290,4.38733,21
62,2902593,5.17871,36
63,2427538,4.63809,25
64,2453065,4.98977,32
65,2902609,4.5625,24
66,3332334,4.50141,23
67,4016308,8.92862,487
68,2512930,6.26543,77
69,2782694,5.22656,37
70,3612113,3.902,15
71,3831831,6.04474,66
72,3442249,9.99428,1020
73,2452977,4.23442,19
74,2343170,7.86749,234
75,3721926,8.7642,435
76,2757278,3.97643,16
77,2697331,4.99413,32
78,4016319,3.86346,15
79,3881786,4.99652,32
80,2367599,4.85451,29
81,3382296,6.96034,125
82,3416733,3.60111,12
83,3991698,9.22343,598
84,3162486,4.71215,26
85,3466687,4.77195,27
86,2427566,6.34673,81
87,3416740,4.41865,21
88,2902633,5.97559,63
89,3722039,7.62113,197
90,2622859,6.20159,74
91,2817251,4.64796,25
92,3112543,7.3359,162
93,2672821,9.29499,628
94,3382319,6.51845,92
95,2977122,5.3064,40
96,3796428,5.15238,36
97,3662086,6.91094,120
98,3636562,4.30157,20
99,3002640,7.61471,196
100,3526655,4.42505,21
101,3077128,4.95298,31
102,3662093,11.1578,2285
103,2403158,8.43094,345
104,3246888,5.92515,61
105,3662106,7.65312,201
106,3721956,10.253,1220
