COUNT,ID_REF,VALUE,
1,3881686,9.19072,584
2,2672712,9.71305,839
3,2842570,9.00583,514
4,3526544,7.01001,129
5,2902531,5.10387,34
6,2402942,7.3419,162
7,3382216,11.216,2379
8,3771800,8.73543,426
9,2427469,5.72447,53
10,2392945,7.23063,150
11,2453006,5.20408,37
12,3552083,5.30777,40
13,3416651,6.93722,123
14,2562821,8.19401,293
15,3721851,6.05833,67
16,3442176,8.83839,458
17,2477438,5.6905,52
18,2926969,8.76879,436
19,3026969,6.17717,72
20,3796335,8.22693,300
21,2622772,4.94079,31
22,3636470,8.17232,288
23,2952497,7.23523,151
24,2367537,6.73833,107
25,3332276,4.3079,20
26,2427500,5.71183,52
27,2647315,4.84441,29
28,3136888,7.82722,227
29,3502149,3.725,13
30,2902559,11.7944,3552
31,3831774,6.20481,74
32,3442205,8.34733,326
33,3026988,9.16254,573
34,2453036,4.84423,29
35,3466634,4.22732,19
36,3991650,7.39733,169
37,3966225,8.84765,461
38,2403080,4.75852,27
39,2867145,8.06974,269
40,3576545,6.8115,112
41,2842624,4.96653,31
42,2902574,7.85394,231
43,2392985,5.39704,42
44,3332298,3.45165,11
45,3806366,4.34763,20
46,3222404,3.377,10
47,2452948,3.62266,12
48,3721886,6.58515,96
49,3661940,12.3991,5401
50,3662041,6.91832,121
51,3416702,4.00348,16
52,2817212,4.26914,19
53,3077072,4.16016,18
54,3636522,9.73132,850
55,2403099,4.62393,25
56,2672774,6.0971,68
57,2697308,4.11799,17
58,2403111,8.24703,304
59,2562867,9.39778,675
60,3332325,3.87906,15
61,3916290,4.16549,18
62,2902593,5.14596,35
63,2427538,4.44091,22
64,2453065,4.84204,29
65,2902609,4.04349,16
66,3332334,4.31465,20
67,4016308,9.17271,577
68,2512930,5.59634,48
69,2782694,5.18247,36
70,3612113,3.82304,14
71,3831831,5.81374,56
72,3442249,10.1998,1176
73,2452977,4.72072,26
74,2343170,7.58441,192
75,3721926,8.77117,437
76,2757278,4.88184,29
77,2697331,4.98603,32
78,4016319,3.7314,13
79,3881786,5.50838,46
80,2367599,4.39403,21
81,3382296,6.2095,74
82,3416733,3.48726,11
83,3991698,8.73273,425
84,3162486,4.27322,19
85,3466687,4.43624,22
86,2427566,6.18153,73
87,3416740,3.98199,16
88,2902633,5.73346,53
89,3722039,7.40837,170
90,2622859,6.45487,88
91,2817251,4.96338,31
92,3112543,6.60686,97
93,2672821,9.15054,568
94,3382319,6.89153,119
95,2977122,4.54652,23
96,3796428,5.70249,52
97,3662086,6.87808,118
98,3636562,3.80255,14
99,3002640,8.1121,277
100,3526655,4.56919,24
101,3077128,4.86222,29
102,3662093,10.9866,2029
103,2403158,8.30416,316
104,3246888,5.8663,58
105,3662106,6.21957,75
106,3721956,10.4769,1425
107,3442282,10.9807,2021
108,2707359,6.56152,94
109,3881824,8.46996,355
110,2757319,8.17365,289
111,2892652,6.76354,109
112,3722060,7.63799,199
113,2562932,5.49162,45
114,2842707,7.87981,236
115,3746489,4.21359,19
116,3576633,3.72436,13
117,2317686,7.17035,144
118,2697372,5.40944,43
119,3162529,4.81985,28
120,3332388,4.63669,25
121,3416773,4.15939,18
122,3612166,8.87678,470
123,3502259,8.50074,362
124,2343231,4.80996,28
125,3027204,5.36874,41
126,3332403,6.75323,108
127,3806459,7.24983,152
128,3941793,6.73366,106
129,2672857,8.55269,376
130,3466740,8.19734,294
131,2817291,7.61326,196
132,2427619,6.32656,80
133,3186966,8.39015,335
134,2622912,7.22971,150
135,3112584,3.92314,15
136,3137120,6.24471,76
137,3722084,4.90309,30
138,2757347,8.40804,340
139,3442322,4.27294,19
140,3272455,5.86462,58
141,3662139,5.95657,62
142,3721989,8.45246,350
143,3077168,5.52616,46
144,2562965,3.87642,15
145,3332424,3.46175,11
146,3772056,3.89573,15
147,3662150,7.63674,199
148,3831917,7.5883,192
149,2403215,6.74353,107
150,2902707,12.1576,4569
151,2647458,8.79713,445
152,4016396,5.84609,58
153,2732844,4.84849,29
154,3881874,7.21232,148
155,3662158,4.2479,19
156,3442345,4.20762,18
157,2477598,5.46543,44
158,3686587,7.00245,128
159,2587520,8.23701,302
160,2867284,4.94739,31
161,3222534,7.52877,185
162,3662170,3.89298,15
163,3416830,3.37638,10
164,3722129,3.72722,13
165,2902725,10.024,1041
166,3332449,4.68498,26
167,3941848,8.56227,378
168,3416834,3.49683,11
169,3382410,6.75804,108
170,2782822,4.25842,19
171,3576704,5.01801,32
172,2927255,5.13402,35
173,2952679,9.34902,652
174,3077214,3.62039,12
175,4016428,5.61618,49
176,3831945,5.55551,47
177,3991814,6.33688,81
178,2892734,3.56217,12
179,3772090,5.5795,48
180,3806525,8.1656,287
181,2902736,10.0396,1052
182,2343289,8.35726,328
183,2892738,7.09269,136
184,3882012,4.45784,22
185,3332465,3.78815,14
186,3662190,3.81536,14
187,3746574,10.7664,1742
188,3662201,11.3925,2688
189,2622970,9.24148,605
190,3416852,3.89933,15
191,3722152,9.49845,723
192,3416856,3.98142,16
193,2403261,10.2521,1220
194,3686635,3.14668,9
195,2427688,5.90221,60
196,3526772,4.99463,32
197,2367743,9.64437,800
198,2757427,7.71819,211
199,3466826,9.01201,516
200,3077244,4.31457,20
201,3831975,4.91578,30
202,3442396,9.32247,640
203,2817386,7.96236,249
204,2343334,4.89578,30
205,2427720,8.46092,352
206,3942007,4.10572,17
207,3941907,7.37727,166
208,3722182,4.3114,20
209,3576749,7.90928,240
210,3332511,4.94594,31
211,3662236,5.9128,60
212,2403301,5.45756,44
213,2697490,6.25632,76
214,2672966,10.0015,1025
215,2977265,10.244,1213
216,3296981,8.62967,396
217,3746625,3.75253,13
218,3306984,8.58991,385
219,3442427,9.11315,554
220,4016485,3.59865,12
221,3416895,5.98411,63
222,3942021,6.91187,120
223,3722195,5.0097,32
224,2892800,4.1552,18
225,3077273,7.9892,254
226,3662247,5.84503,57
227,4041923,6.81303,112
228,3272566,7.6996,208
229,3416909,6.87193,117
230,3772158,4.85112,29
231,2902804,4.58595,24
232,3552344,5.39685,42
233,3112713,4.6087,24
234,3332530,4.70349,26
235,3882069,9.43898,694
236,2732942,8.46895,354
237,2673085,4.44857,22
238,3416921,5.06112,33
239,2623139,7.48618,179
240,3856554,5.92211,61
241,3526831,7.21394,148
242,2367793,7.13632,141
243,2587618,9.22703,599
244,3662265,8.96572,500
245,2842860,8.20656,295
246,3991889,12.6528,6440
247,3502411,5.17905,36
248,3307120,6.32354,80
249,2403335,6.85163,115
250,3332548,5.92753,61
251,2867392,5.51506,46
252,2623154,7.0838,136
253,3916527,11.4378,2774
254,3796620,9.56203,756
255,2952781,5.45848,44
256,3247172,3.91228,15
257,3772187,3.6951,13
258,3416943,6.95679,124
259,3941958,7.033,131
260,2477731,3.86807,15
261,3077321,4.83997,29
262,3576812,6.81837,113
263,2453307,9.05282,531
264,3942062,7.64362,200
265,3382523,3.81583,14
266,3722248,4.39994,21
267,3442475,5.63345,50
268,2902844,5.10649,34
269,3746675,4.51669,23
270,3686728,9.50354,726
271,3502437,5.68769,52
272,2817464,4.83713,29
273,2673136,5.60096,49
274,3332576,5.15148,36
275,2623180,7.29761,157
276,2697564,8.30449,316
277,3856594,7.32246,160
278,2427791,4.31588,20
279,2867432,4.01459,16
280,2367843,5.94256,62
281,2343418,4.76466,27
282,2842911,5.19479,37
283,3992041,6.29727,79
284,3806654,3.46617,11
285,2867443,7.73312,213
286,3686750,4.87273,29
287,3417075,7.10773,138
288,3416977,6.51863,92
289,2757540,6.99535,128
290,3442514,4.97351,31
291,3002873,9.28859,625
292,4016572,8.99834,511
293,2952834,5.81946,56
294,3662333,5.36825,41
295,3916576,8.95945,498
296,3722286,5.34734,41
297,3332615,9.87988,942
298,2902884,6.05836,67
299,3502475,4.27652,19
300,2647647,8.16048,286
301,3416996,8.12918,280
302,3942124,6.72676,106
303,3332626,8.48573,358
304,3746734,4.24487,19
305,2453365,7.62437,197
306,2673181,8.59263,386
307,3856646,4.87761,29
308,2842951,7.85562,232
309,3806689,9.57774,764
310,2453370,8.40059,338
311,2367892,4.77913,27
312,3502497,6.28937,78
313,2783099,5.4177,43
314,3991992,5.47158,44
315,3806711,6.6041,97
316,2343473,8.82212,453
317,3272686,6.10094,69
318,2623249,7.14691,142
319,3772279,5.04299,33
320,3576889,6.99784,128
321,3882190,4.58913,24
322,2587730,4.87311,29
323,3272706,4.88514,30
324,3722338,5.95722,62
325,2903034,4.48277,22
326,2902935,6.43676,87
327,2403446,5.23425,38
328,3942161,7.29339,157
329,3417146,5.76787,54
330,3332663,4.36066,21
331,3662387,9.6609,810
332,3882214,3.6377,12
333,4016639,5.29853,39
334,3832256,6.84552,115
335,2697652,4.99833,32
336,2952893,5.16129,36
337,2587747,6.39738,84
338,3442579,6.06778,67
339,3722355,9.43448,692
340,2343511,6.22206,75
341,2843091,7.84165,229
342,2757621,5.99105,64
343,3417161,10.1144,1109
344,3636879,5.87909,59
345,3942179,8.97348,503
346,2733202,3.8624,15
347,2902958,7.56893,190
348,2403470,6.25113,76
349,2318086,8.62227,394
350,2817576,5.62343,49
351,3662417,5.21148,37
352,3272736,5.05316,33
353,3576937,5.4652,44
354,2427898,4.89051,30
355,3832280,3.43444,11
356,3992148,5.91081,60
357,3882241,4.74657,27
358,2952927,4.16697,18
359,3027503,5.92584,61
360,3746809,3.54164,12
361,3856720,3.73564,13
362,2927506,4.98344,32
363,2623308,5.59602,48
364,2673257,4.26748,19
365,3637006,6.51248,91
366,2903075,7.70628,209
367,3417184,6.7615,108
368,2367963,6.92135,121
369,3832292,5.47946,45
370,3722384,7.3842,167
371,3502570,9.74426,858
372,2843131,5.37014,41
373,2892979,6.10869,69
374,3357237,7.97683,252
375,2647742,7.53144,185
376,3417201,6.18811,73
377,3832308,4.58005,24
378,2427930,7.21725,149
379,2673270,10.1473,1134
380,3272761,4.24451,19
381,3662444,4.93802,31
382,2977471,5.7526,54
383,2587790,9.33058,644
384,3916686,3.93679,15
385,3882265,4.16515,18
386,3332729,4.16635,18
387,3003107,6.79874,111
388,3442641,4.25764,19
389,2893109,4.39696,21
390,2952959,4.8684,29
391,3722417,9.49913,724
392,2697721,3.75754,14
393,3027538,6.82482,113
394,3746845,6.1657,72
395,3577078,10.6832,1644
396,2783207,5.80374,56
397,3077502,6.33338,81
398,2843163,7.15261,142
399,2478017,8.31409,318
400,2977510,6.05823,67
401,3382698,6.91527,121
402,2673312,5.33288,40
403,2393538,5.20673,37
404,4016726,3.79602,14
405,2893130,6.68966,103
406,2318157,4.84189,29
407,3272795,5.65602,50
408,3882304,3.48825,11
409,3357279,9.06452,535
410,3636956,5.61732,49
411,3942259,3.68504,13
